DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40379282,"3H-Perfluoropentane-2,4-dione",77968-17-3,GRHYFDZMGZYXAP-UHFFFAOYSA-N,"1,1,1,3,5,5,5-Heptafluoropentane-2,4-dione",FC(C(=O)C(F)(F)F)C(=O)C(F)(F)F,"InChI=1S/C5HF7O2/c6-1(2(13)4(7,8)9)3(14)5(10,11)12/h1H",C5HF7O2,226.05,225.986476,13,,40,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80380256,"4,4-bis(Trifluoromethyl)-4-fluoropropanoic acid",243139-62-0,ZKMKCYOZMOVHGJ-UHFFFAOYSA-N,"4,5,5,5-Tetrafluoro-4-(trifluoromethyl)pentanoic acid",OC(=O)CCC(F)(C(F)(F)F)C(F)(F)F,"InChI=1S/C6H5F7O2/c7-4(5(8,9)10,6(11,12)13)2-1-3(14)15/h1-2H2,(H,14,15)",C6H5F7O2,242.093,242.017777,27,,41,,1,10/298,3.0,298
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8037708,Ammonium perfluorooctanoate,3825-26-1,YOALFLHFSFEMLP-UHFFFAOYSA-N,Ammonium pentadecafluorooctanoate,[NH4+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF15O2.H3N/c9-2(10,1(24)25)3(11,12)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)23;/h(H,24,25);1H3",C8H4F15NO2,431.101,431.000251,179,1179,36,20,1,74/1025,7.0,1025
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90880176,"3,5,6-Trichloroperfluorohexanoic acid",2106-54-9,ANRGSWRBGXZQLY-UHFFFAOYSA-N,"3,5,6-Trichloro-2,2,3,4,4,5,6,6-octafluorohexanoic acid",OC(=O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,"InChI=1S/C6HCl3F8O2/c7-3(12,2(10,11)1(18)19)5(14,15)4(8,13)6(9,16)17/h(H,18,19)",C6HCl3F8O2,363.41,361.891438,33,,36,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID40379808,"Perfluoro-3,7-dimethyloctanoic acid",172155-07-6,KZUSAXRVIONPJU-UHFFFAOYSA-N,"2,2,3,4,4,5,5,6,6,7,8,8,8-Tridecafluoro-3,7-bis(trifluoromethyl)octanoic acid",OC(=O)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,"InChI=1S/C10HF19O2/c11-2(12,1(30)31)3(13,8(21,22)23)5(15,16)7(19,20)6(17,18)4(14,9(24,25)26)10(27,28)29/h(H,30,31)",C10HF19O2,514.086,513.967314,38,,43,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20337244,2-Perfluoropropyl-2-propanol,355-22-6,CZPWXOSMOFCBOR-UHFFFAOYSA-N,"3,3,4,4,5,5,5-Heptafluoro-2-methylpentan-2-ol",CC(C)(O)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C6H7F7O/c1-3(2,14)4(7,8)5(9,10)6(11,12)13/h14H,1-2H3",C6H7F7O,228.11,228.038512,32,,25,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID10370988,Allyl perfluoroisopropyl ether,15242-17-8,FXUHCQHWDACOKK-UHFFFAOYSA-N,"3-[(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)oxy]prop-1-ene",FC(F)(F)C(F)(OCC=C)C(F)(F)F,"InChI=1S/C6H5F7O/c1-2-3-14-4(7,5(8,9)10)6(11,12)13/h2H,1,3H2",C6H5F7O,226.094,226.022862,31,,36,,2,3/198,2.0,198
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60195123,Perfluorooctanamide,423-54-1,UGMUDSKJLAUMTC-UHFFFAOYSA-N,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctanamide",NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8H2F15NO/c9-2(10,1(24)25)3(11,12)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)23/h(H2,24,25)",C8H2F15NO,413.086,412.989686,48,,45,,1,10/470,2.0,470
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5044572,2-(Perfluorohexyl)ethanol,647-42-7,GRJRKPMIRMSBNK-UHFFFAOYSA-N,"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctan-1-ol",OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8H5F13O/c9-3(10,1-2-22)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h22H,1-2H2",C8H5F13O,364.106,364.013281,174,,96,,1,66/1038,6.0,1038
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20179883,2-(Perfluorohexyl)ethylphosphonic acid,252237-40-4,DEXIXSRZQUFPIK-UHFFFAOYSA-N,"(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctyl)phosphonic acid",OP(O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8H6F13O3P/c9-3(10,1-2-25(22,23)24)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h1-2H2,(H2,22,23,24)",C8H6F13O3P,428.086,427.984697,49,,25,,2,14/506,3.0,506
