BOUNDARY_KEY,CREATE_USER_NAME,CREATE_TS,PREVIOUSLY_PUBLISHED_IND,DESCRIPTION,BEGIN_DATE,END_DATE,COMMENTS,MODIFY_USER_NAME,MODIFY_TS,DC4_DATUM_ID,CMC2_COORDINATE_METHOD_ID,PC2_PROXIMITY_ID,COLLECTOR_USER_NAME,COLLECTION_DATE,OIC_OBJECT_OF_INTEREST_ID,VSC1_VERIFICATION_STATUS_ID,VERIFICATION_DATE,VERIFIER_USER_NAME,PRIMARY_FACILITY_ID,PRIMARY_FACILITY_NAME,PRIMARY_SITE_ID,PRIMARY_SITE_NAME,PRIMARY_SITE_ADDRESS_LINE_1,PRIMARY_SITE_ADDRESS_LINE_2,PRIMARY_SITE_CITY,PRIMARY_SITE_ZIP5,PRIMARY_SITE_ZIP4,PRIMARY_SITE_STATE,PRIMARY_SITE_PROGRAM_TYPE_KEY,PRIMARY_SITE_MANAGING_PROGRAM,PRIMARY_SITE_DEP_OFFICE,PRIMARY_SITE_WMD,PRIMARY_SITE_DOCUMENTS,BOUNDARY_CONTROL_ID,BOUNDARY_CONTROL_NAME,BOUNDARY_MECHANISM_COUNTIES,BOUNDARY_MECHANISM_CATEGORIES,BOUNDARY_MECHANISM_TYPES,BOUNDARY_MECHANISM_BOOK_NUMS,BOUNDARY_MECHANISM_PAGE_NUMS,BOUNDARY_MECHANISM_INSTR_NUMS,BOUNDARY_MECHANISM_EFF_DATES,BOUNDARY_RESTRICTIONS,BOUNDARY_CONTAMINATED_MEDIA,BOUNDARY_CONTAMINATIONS,BOUNDARY_ENGINEERING_CONTROLS,ALL_FACILITY_IDS,ALL_FACILITY_NAMES,ALL_SITE_IDS,ALL_SITE_NAMES,OBJECTID
1037,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:46+00,Y,LSSI NFA ORDER,2015/05/11 00:00:00+00,,"Limited groundwater (GW) assessment completed under LSSI Program. Minimal on-site contamination levels met LSSI NFA criteria. Do not use GW for drinking water or irrigation. For clarification, contact DEP LSSI Coordinator.",,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:46+00,SWIM,REVIEWED,,,STCM-8515615,SHELL-TRIANGLE,ERIC_6930,TRIANGLE SHELL (FORMER SHELL SAP 136767),6101 GULF BEACH BOULEVARD,,ST. PETE BEACH,33706,,FL,PETROLEUM,Petroleum Restoration Program,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6930/gis-facility!search,IC-990,TRIANGLE SHEEL (FORMER SHEEL SAP 136767),Pinellas,LSSI NFA Orders      ,LSSI NFA Order,NA,NA,,11-MAY-15,LSSI,Groundwater,Petroleum (Includes BTEX and MTBE)-Legacy,None,STCM-8515615,SHELL-TRIANGLE,ERIC_6930,TRIANGLE SHELL (FORMER SHELL SAP 136767),1
728,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:24+00,Y,LSSI NFA ORDER,2014/12/09 00:00:00+00,,"Limited groundwater (GW) assessment completed under LSSI Program. Minimal on-site contamination levels met LSSI NFA criteria. Do not use GW for drinking water or irrigation. For clarification, contact DEP LSSI Coordinator.",,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:24+00,SWIM,REVIEWED,,,STCM-8733668,ST PETERSBURG CITY-LIFT STAT #35,ERIC_6961,ST PETERSBURG CITY-LIFT STAT #35,BAHIA DEL MAR CIRCLE SOUTH,,ST. PETERSBURG,33715,,FL,PETROLEUM,Petroleum Restoration Program,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6961/gis-facility!search,IC-885,ST PETERSBURG CITY-LIFT STAT #35,Pinellas,LSSI NFA Orders      ,LSSI NFA Order,NA,NA,,09-DEC-14,LSSI,Groundwater,Petroleum (Includes BTEX and MTBE)-Legacy,None,STCM-8733668,ST PETERSBURG CITY-LIFT STAT #35,ERIC_6961,ST PETERSBURG CITY-LIFT STAT #35,2
973,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:41+00,Y,GROUNDWATER USE RESTRICTION,2000/04/14 00:00:00+00,, ,,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:41+00,SWIM,REVIEWED,,,STCM-8624617,POYNTER BOOK STORAGE & WAREHOUSE,ERIC_6949,POYNTER BOOK STORAGE & WAREHOUSE,921 3RD STREET SOUTH,,ST. PETERSBURG,33701,,FL,PETROLEUM,Petroleum Restoration Program,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6949/gis-facility!search,IC-589,POYNTER BOOK STORAGE & WAREHOUSE,Pinellas,Recorded ICs,Declaration of Restrictive Covenant,10878,1128,,14-APR-00,Groundwater Use,Groundwater,Petroleum (Includes BTEX and MTBE)-Legacy,None,STCM-8624617,POYNTER BOOK STORAGE & WAREHOUSE,ERIC_6949,POYNTER BOOK STORAGE & WAREHOUSE,5
449,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:06+00,Y,LSSI NFA ORDER,2014/04/10 00:00:00+00,,"Limited groundwater (GW) assessment completed under LSSI Program. Minimal on-site contamination levels met LSSI NFA criteria. Do not use GW for drinking water or irrigation. For clarification, contact DEP LSSI Coordinator.",,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:06+00,SWIM,REVIEWED,,,STCM-9800251,QUICK N EASY,ERIC_6667,QUICK N EASY,13202 SUMMERFIELD BOULEVARD,,RIVERVIEW,33511,,FL,PETROLEUM,Petroleum Restoration Program,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6667/gis-facility!search,IC-877,QUICK N EASY,Hillsborough,LSSI NFA Orders      ,LSSI NFA Order,NA,NA,,10-APR-14,LSSI,Groundwater,Petroleum (Includes BTEX and MTBE)-Legacy,None,STCM-9800251,QUICK N EASY,ERIC_6667,QUICK N EASY,6
366,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:59+00,Y,GROUNDWATER USE RESTRICTION,2008/01/02 00:00:00+00,,SRCO issued 2-28-08.,,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:59+00,SWIM,REVIEWED,,,STCM-9803780,ORANGE PARK CTR-M A SMITH RANCH TRUST PART D,ERIC_6972,ORANGE PARK CENTER,696 1ST AVENUE NORTH,,ST. PETERSBURG,33701,,FL,PETROLEUM,Petroleum Restoration Program,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6972/gis-facility!search,IC-515,ORANGE PARK CENTER,Pinellas,Recorded ICs,Declaration of Restrictive Covenant,16103,799-808,,02-JAN-08,Groundwater Use,Groundwater,Petroleum (Includes BTEX and MTBE)-Legacy,None,STCM-9803780,ORANGE PARK CTR-M A SMITH RANCH TRUST PART D,ERIC_6972,ORANGE PARK CENTER,7
298,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:55+00,Y,GROUNDWATER USE RESTRICTION,2015/01/27 00:00:00+00,," Added Dewatering and Stormwater Features Restriction	",WILLIAMS_CA,2020/08/05 16:39:11+00,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:55+00,SWIM,REVIEWED,,,STCM-9501088,MODEL CLEANERS,ERIC_6986,MODEL CLEANERS (FORMER),1855  34TH STREET NORTH,,ST. PETERSBURG,33713,,FL,,,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6986/gis-facility!search,IC-847,MODEL CLEANERS (FORMER),Pinellas,Recorded ICs,Declaration of Restrictive Covenant,18658,117-123,,27-JAN-15,"Dewatering, Groundwater Use, Stormwater Features",Groundwater,"Chlorinated Solvents-Legacy, Dichloroethene, cis-1,2-, TCE",None,STCM-9501088,MODEL CLEANERS,ERIC_6986,MODEL CLEANERS (FORMER),11
150,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:45+00,Y,LSSI NFA ORDER,2014/07/25 00:00:00+00,,"Limited groundwater (GW) assessment completed under LSSI Program. Minimal on-site contamination levels met LSSI NFA criteria. Do not use GW for drinking water or irrigation. For clarification, contact DEP LSSI Coordinator.",,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:31:45+00,SWIM,REVIEWED,,,STCM-8623612,CIRCLE K #2709779,ERIC_6940,CIRCLE K #2709779,3400 5TH AVE NORTH,,ST. PETERSBURG,33713,,FL,PETROLEUM,Petroleum Restoration Program,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6940/gis-facility!search,IC-890,CIRCLE K #2709779,Pinellas,LSSI NFA Orders      ,LSSI NFA Order,NA,NA,,25-JUL-14,LSSI,Groundwater,Petroleum (Includes BTEX and MTBE)-Legacy,None,STCM-8623612,CIRCLE K #2709779,ERIC_6940,CIRCLE K #2709779,12
1084,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:49+00,Y,ACCESS RESTRICTION,2013/07/10 00:00:00+00,, ,HUNTER_W,2023/04/26 15:49:28+00,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:49+00,SWIM,NOT REVIEWED,,,STCM-8630965,DODGE CITY  INC,ERIC_6958,DODGE CITY  INC,2301 34TH STREET NORTH,,ST. PETERSBURG,33713,,FL,"PETROLEUM, RESPONSPARTY","Petroleum Restoration Program, Responsible Party Cleanup",SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6958/gis-facility!search,IC-710,DODGE CITY  INC,Pinellas,Recorded ICs,Declaration of Restrictive Covenant,18077,1487,,10-JUL-13,Access Restriction,Soil,Petroleum (Includes BTEX and MTBE)-Legacy,Impermeable cap,STCM-8630965,DODGE CITY  INC,ERIC_6958,DODGE CITY  INC,13
457,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:06+00,Y,LSSI NFA ORDER,2014/06/11 00:00:00+00,,"Limited groundwater (GW) assessment completed under LSSI Program. Minimal on-site contamination levels met LSSI NFA criteria. Do not use GW for drinking water or irrigation. For clarification, contact DEP LSSI Coordinator.",,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:06+00,SWIM,REVIEWED,,,STCM-8624566,PRONTO CAR WASH,ERIC_6947,PRONTO CAR WASH,220 34TH STREET NORTH,,ST. PETERSBURG,33713,,FL,PETROLEUM,Petroleum Restoration Program,SWD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6947/gis-facility!search,IC-825,PRONTO CAR WASH,Pinellas,LSSI NFA Orders      ,LSSI NFA Order,NA,NA,,11-JUN-14,LSSI,Groundwater,Petroleum (Includes BTEX and MTBE)-Legacy,None,STCM-8624566,PRONTO CAR WASH,ERIC_6947,PRONTO CAR WASH,14
530,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:11+00,Y,LSSI NFA ORDER,2013/07/26 00:00:00+00,,"Limited groundwater (GW) assessment completed under LSSI Program. Minimal on-site contamination levels met LSSI NFA criteria. Do not use GW for drinking water or irrigation. For clarification, contact DEP LSSI Coordinator.",,,HARN,CSUR,EXACT,ERIC_INIT_ICR_LOAD,2018/11/29 16:32:11+00,SWIM,REVIEWED,,,STCM-8519045,CIRCLE K #7413,ERIC_6872,CIRCLE K #7413,2512 SOUTH TAMIAMI TRAIL,,PORT CHARLOTTE,33952,,FL,PETROLEUM,Petroleum Restoration Program,SD,SWFWMD,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6872/gis-facility!search,IC-690,CIRCLE K #7413,Charlotte,LSSI NFA Orders      ,LSSI NFA Order,NA,NA,,26-JUL-13,LSSI,Groundwater,Petroleum (Includes BTEX and MTBE)-Legacy,None,STCM-8519045,CIRCLE K #7413,ERIC_6872,CIRCLE K #7413,20
