X,Y,OBJECTID,Facility,County,Address,City,ZipCode,Type,ResidentialWellsSampled,SiteLead,SiteLeadEmail,SiteLeadPhone,Hyperlink,Longitude,Latitude,Status,GlobalID
-85.621686,43.1053580000001,1,Belmont - House St.,Kent,1855 House Street,Rockford,49341,Landfill,Yes,Leah Gies,giesl1@michigan.gov,616-215-4781,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/house-street-disposal-area,-85.621686,43.105358,Final,{FFD13567-4CAC-4D0D-B901-82D957E592D3}
-85.5601819999999,43.122506,2,Rockford Tannery,Kent,123 North Main Street,Rockford,49341,Tannery,No,Leah Gies,giesl1@michigan.gov,616-215-4781,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/kent-county/rockford-tannery,-85.560182,43.122506,Final,{CFC91795-3C71-4421-9DA1-CB87E0B6162D}
-84.78779,44.6266810000001,3,Camp Grayling - Lake Margrethe,Crawford,Camp Grayling - Lake Margrethe Area,Grayling,49738,Military,Yes,Christiaan Bon,BonC@Michigan.gov,989-370-9624,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/crawford-county/camp-grayling-lake-margrethe,-84.78779,44.626681,Final,{680012E1-B56F-4FAF-B1F4-EB2BA7A87C96}
-87.3873,46.3496000000001,4,K.I. Sawyer AFB,Marquette,225 Airport Ave,Gwinn,49841,Military,Yes,William Harmon,HarmonW@Michigan.gov,517-242-2143,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/marquette-county/ki-sawyer-air-force-base,-87.3873,46.3496,Final,{BDB2EA44-8C27-432B-8281-B8F9ADEEE00A}
-83.353421,44.4595340000001,5,Wurtsmith AFB,Iosco,No Address - former Air Force Base,Oscoda,48750,Military,Yes,Beth Place,PlaceB1@Michigan.gov,517-899-7524,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/wurtsmith,-83.353421,44.459534,Final,{725C2D9F-0EC2-4CAE-85AA-9A2E312A37CB}
-83.310559,43.03889,6,Lapeer Plating & Plastics,Lapeer,395 Demille Road,"Lapeer
",48446,Plating,No,Brian Zuber,ZuberB@Michigan.gov,517-388-0267,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/lapeer-county/lapeer-plating-plastics,-83.310559,43.03889,Final,{611EF353-C1CB-4456-BA9D-76EDF25C732A}
-84.587871,42.73954,7,Adams Plating,Ingham,521 N. Rosemary,Lansing,48917,Plating,No,Mark Reimann,ReimannM@Michigan.gov ,517-290-9379,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/ingham-county/adams-plating,-84.587871,42.73954,Final,{6ECE3D2F-6A49-4E72-8A34-3D38D7F85DB8}
-83.4357919999999,45.0729900000001,8,Alpena Hide and Leather Co.,Alpena,817 and 819 W. Miller Street,Alpena,49707,Tannery,No,Janice Adams,AdamsJ1@Michigan.gov ,989-619-4211,"https://www.michigan.gov/pfasresponse/investigations/sites-aoi/alpena-county/alpena-hide-and-leather
",-83.435792,45.07299,Final,{00327F3D-6378-42A1-80BA-0FB5FD52CF24}
-83.349011,44.4403360000001,9,Whispering Pines MHC,Iosco,4263 Bissonette,Oscoda,48750,Military,Yes,Beth Place,PlaceB1@Michigan.gov,517-899-7524,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.349011,44.440336,Final,{4B85FC24-303F-4E2F-8BD9-3024D95C6EFB}
-83.683883,43.0980260000001,10,Coldwater Road Landfill & Peregrine,Genesee,1245 Coldwater Road,Flint,48458,Landfill,Yes,Nicole Sanabria,SanabriaN@Michigan.gov,517-281-7726,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/genesee-county/coldwater-road-landfill,-83.683883,43.098026,Final,{3B21DB23-AB12-4006-977A-A461947670AC}
-84.7816759999999,43.6127010000001,11,Roosevelt Refinery,Isabella,600 W Pickard Street,Mount Pleasant,48858,Refinery,No,Larry Engelhart,EngelhartL@Michigan.gov ,989-891-6946,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/isabella-county/roosevelt-refinery,-84.781676,43.612701,Final,{8F95949E-CBAD-4914-B89E-439DBE8079FF}
-83.565936829,45.0680388590001,13,Alpena Combat Readiness Center,Alpena,5884 A St.,Alpena,49707,Military,Yes,Christiaan Bon,BonC@Michigan.gov,989-370-9624,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/alpena-county/alpena-crtc,-83.56593683,45.06803886,Final,{690ADDAF-2FF4-4E37-8655-592F9360D72E}
-87.06124303,45.7916888180001,14,Escanaba Defense Fuel Supply Point,Delta,6734 P Road,Escanaba,49829,Military,Yes,William Harmon,HarmonW@Michigan.gov,517-242-2143,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/delta-county/escanaba-dfsp,-87.06124303,45.79168882,Final,{18E80B4E-15AD-4A81-919F-E33869580BB7}
-83.3656855529999,44.4742172430001,15,Van Etten Lake,Iosco,No address - Lake,Oscoda,48750,Military,Yes,Beth Place,PlaceB1@Michigan.gov,517-899-7524,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/iosco-county/oscoda-area,-83.36568555,44.47421724,Final,{1E98D017-DD85-4903-8604-13AD01241B93}
