OBJECTID,HexID,SamplingResultsCount,SHAPE_Length,SHAPE_Area
1,1,5,0.181192925899117,0.00227353300210468
2,2,4,0.181046704028616,0.00227065598066277
3,3,11,0.1802594677399,0.00225482688229402
4,4,5,0.178379867108934,0.00221719380437155
5,5,49,0.178975376097813,0.00222910243140683
6,6,3,0.181573757667545,0.00228113785744436
7,7,5,0.177070390420807,0.00219067430411058
8,8,34,0.178589188869396,0.00222135635703632
9,9,4,0.178604565200889,0.00222175786079157
10,10,19,0.183140446365504,0.00231236823960947
11,11,45,0.178077780234722,0.00221118588252818
12,12,5,0.18066485802997,0.00226305910059364
13,13,21,0.178974849883346,0.00222916019870924
14,14,5,0.179210005631844,0.00223363117579317
15,15,13,0.17742351780369,0.00219790164883301
16,16,14,0.178562625017446,0.00222093984147311
17,17,12,0.181071529781392,0.00227119089123931
18,18,7,0.181363758373081,0.00227702592959242
19,19,4,0.178641962893594,0.00222252614018503
20,20,3,0.183763738415648,0.00232462775661647
21,21,24,0.181344554647966,0.0022764245010735
22,22,11,0.179318359881435,0.00223609441433739
23,23,17,0.180380170371677,0.00225735964918883
24,24,4,0.183737192368809,0.00232415310816355
25,25,4,0.183447625978583,0.00231821999866733
26,26,4,0.177242852380991,0.00219439217026276
27,27,4,0.18077867098102,0.00226533656958493
28,28,4,0.176978816415709,0.00218874695536316
29,29,5,0.177940064005938,0.00220827272925489
30,30,10,0.177198400347312,0.00219346719443477
31,31,31,0.178330012527712,0.00221626943084991
32,32,4,0.184908355749285,0.00234731622686354
33,33,4,0.180025887502483,0.00225025177514476
34,34,3,0.179308283239023,0.00223587807784648
35,35,7,0.17743231004327,0.00219813910060704
36,36,5,0.182466609929518,0.00229900892510154
37,37,28,0.178757788509119,0.00222482085391108
38,38,15,0.176940227527381,0.00218812658238878
39,39,7,0.178160413262231,0.00221267786215783
40,40,7,0.177210815804372,0.00219373566626537
41,41,4,0.184884469070307,0.00234689297866775
42,42,22,0.177506744390279,0.00219964095462158
43,43,70,0.17781439331819,0.00220589036875412
44,44,3,0.181866714479477,0.00228703608385254
45,45,32,0.179419867910535,0.00223786048447555
46,46,9,0.182466005448385,0.00229899340673014
47,47,3,0.179934518706019,0.00224832446608325
48,48,4,0.176844616273365,0.0021863528707924
49,49,1,0.181825173300442,0.00228621054846997
50,50,8,0.184825637774724,0.00234543979663288
51,51,4,0.181693224776905,0.00228359213182901
52,52,7,0.17716172129832,0.00219260420727362
53,53,1,0.177834419422993,0.00220630527705656
54,54,13,0.177806928744884,0.00220570529463396
55,55,12,0.177992138758158,0.00220945194158288
56,56,21,0.18009633324212,0.00225169134499247
57,57,3,0.182249647122094,0.00229448599189649
58,58,16,0.178192773494916,0.00221349846614165
59,59,17,0.180253611910042,0.00225484130659453
60,60,3,0.179296475638989,0.00223562223353112
61,61,5,0.18041849138015,0.00225813900169996
62,62,10,0.178749296299807,0.00222457907103569
63,63,10,0.179148054758977,0.00223259164716373
64,64,3,0.181828977037781,0.00228602139188352
65,65,5,0.178527770822804,0.00222021344311484
66,66,14,0.17886967540339,0.00222706975458539
67,67,8,0.182419628177922,0.00229797143148086
68,68,10,0.178601723042924,0.00222172387630592
69,69,4,0.183322976677681,0.00231601244632257
70,70,23,0.177962087213253,0.00220864462805269
71,71,5,0.178874669328325,0.00222718346795534
72,72,2,0.177575640456184,0.00220109562142836
73,73,1,0.181994870788698,0.00228959711267738
74,74,12,0.185962317949608,0.00236835541013896
75,75,19,0.182295034020546,0.00229559460694675
76,76,5,0.177619033383057,0.00220195572304058
77,77,1,0.18040586843313,0.00225787782006552
78,78,22,0.179683756814234,0.00224332456717157
79,79,21,0.177013899136413,0.00218961621485885
80,80,4,0.178374136683886,0.00221711318866108
81,81,14,0.178244277696951,0.00221449932533318
82,82,4,0.180364522838978,0.00225696131148008
83,83,8,0.178600588664889,0.00222163614644064
84,84,12,0.177633352594215,0.00220206263707428
85,85,4,0.177311015366949,0.00219545482241439
86,86,3,0.178950157524522,0.0022286726280319
87,87,3,0.177422291933741,0.002198009754765
88,88,1,0.177611370757545,0.00220181594635819
89,89,44,0.183414051635574,0.00231782925581516
90,90,13,0.179730138105273,0.00224414024127953
91,91,4,0.182748570341006,0.00230435372291894
92,92,23,0.178238000869271,0.00221429520584304
93,93,4,0.185340983829864,0.00235578664430569
94,94,9,0.178603997693601,0.00222176036454497
95,95,8,0.177848931642115,0.00220658173171601
96,96,5,0.178488776508955,0.00221936930033498
97,97,2,0.177976883286496,0.00220916860866021
98,98,35,0.178856580627557,0.00222678542509672
99,99,8,0.177202020690332,0.0021932633370047
100,100,7,0.17778852652103,0.0022053798260521
101,101,2,0.181445146912963,0.00227864862582674
102,102,76,0.183619353169729,0.00232185989846908
103,103,2,0.177059248004664,0.00219040054219111
104,104,18,0.179233068157037,0.00223430784703941
105,105,2,0.184552118904108,0.00234031350762777
106,106,4,0.178413503953973,0.00221786087055161
107,107,4,0.179233498457361,0.00223415383680062
108,108,11,0.181996835535885,0.00228965228392788
109,109,11,0.177579815499713,0.00220117329611557
110,110,19,0.178918095860568,0.00222798999086534
111,111,6,0.179916577529295,0.00224792727888568
112,112,19,0.183660788420158,0.00232267355782692
113,113,4,0.178297781963081,0.00221557634797719
114,114,41,0.181260693345261,0.00227485013729519
115,115,8,0.182557761528782,0.00230051669138735
116,116,5,0.185272739009138,0.00235453440590134
117,117,19,0.182676287992928,0.00230317611930603
118,118,3,0.178469945307547,0.0022190253272101
119,119,4,0.177577934360844,0.00220113917352994
120,120,9,0.179370944505311,0.0022370311738962
121,121,7,0.178513791711238,0.00221984641771168
122,122,2,0.183632101979297,0.00232189698894592
123,123,16,0.17953065738303,0.00224036411215559
124,124,34,0.182855244998309,0.00230674723820634
125,125,4,0.176952804505956,0.00218853898628143
126,126,4,0.181075401858656,0.00227126629773751
127,127,12,0.178392758841683,0.00221752612056986
128,128,9,0.1788861164353,0.00222742314081672
129,129,1,0.182629208118933,0.00230223085462931
130,130,2,0.180857083221291,0.00226683038251605
131,131,2,0.177138542906311,0.00219227141864715
132,132,9,0.178851977335793,0.00222659179473792
133,133,2,0.176911038984601,0.00218740119120945
134,134,22,0.177154790421581,0.00219226773231002
135,135,14,0.178598527884563,0.00222158136946203
136,136,1,0.180746719172364,0.00226469195736897
137,137,8,0.177025622524228,0.00219000808233646
138,138,19,0.178413426680619,0.00221792114322654
139,139,2,0.183601992661505,0.00232146630291189
140,140,5,0.178181693393227,0.00221322166237606
141,141,10,0.1800781952972,0.00225120991826226
142,142,6,0.182746128470776,0.00230441388101507
143,143,4,0.177748696276633,0.00220440151357011
144,144,10,0.177075342475665,0.00219079702764066
145,145,18,0.17713862645704,0.00219223575177773
146,146,20,0.179071233801845,0.002231054784773
147,147,4,0.183102631004514,0.00231150054409578
148,148,23,0.178957848799941,0.00222885416077196
149,149,1,0.181020844322538,0.00227016737566282
150,150,7,0.178613847811789,0.00222189679858241
151,151,8,0.178308145697975,0.00221581804575271
152,152,2,0.176959704776862,0.00218867890865392
153,153,7,0.177692137296927,0.00220343353958979
154,154,3,0.177425271815598,0.00219806887496557
155,155,124,0.178147308988228,0.00221257571358478
156,156,7,0.184464305897381,0.0023385297064031
157,157,1,0.17879722490996,0.00222563447679326
158,158,5,0.183284081948332,0.00231525350885259
159,159,12,0.179266117973993,0.00223479207702901
160,160,13,0.177164167202678,0.00219280976068672
161,161,6,0.177979573184803,0.00220918140185689
162,162,23,0.179008418146019,0.00222988337764199
163,163,2,0.178808952000231,0.00222565980833727
164,164,17,0.178107033835068,0.00221176321580028
165,165,8,0.186006264551631,0.00236883503781779
