X,Y,OBJECTID,ID_MA98,AG_MG_KG,AS_MG_KG,BA_MG_KG,BE_MG_KG,CD_MG_KG,CR_MG_KG,CU_MG_KG,HG_MG_KG,MN_MG_KG,MO_MG_KG,NI_MG_KG,PB_MG_KG,SB_MG_KG,SE_MG_KG,ZN_MG_KG,ID_UFSCL,FDOTID_UF,LAB_NUM_UF,DATE_UF,COUNTY_UF,SOIL_ORDER,SO_SER_UF,SOIL_TY_UF,HORIZON_UF,PARENT_UF,LATITUDE,LONGITUDE,ALBERS_X,ALBERS_Y
649972.396499999,650482.1004,1,3593,2.08,1.96,628,0.020,0,9.2,3.6,29,4.800,6.72,4,0,0.600,0.12,8,S55_020,3593,3593,1978/05/01 00:00:00+00,St. Johns,ISTS,TOMOKA MUCK,"Terric Haplosaprists, loamy, siliceous, dysic, hyperthermic.",Oa1,Thick deposits of sapric materials and underlying loamy materials.,29.837633,-81.409373,649972.14,650482.27
663125.161800001,554818.5877,2,706,0.6,0.4,25.2,NA,0.007,11,1.2,3.2,91.200,2.42,47.6,8.24,NA,0.18,10.2,S64_004,706,706,1973/08/26 00:00:00+00,Volusia,ENTS,ASTATULA FINE SAND,"Typic Quartzipsamments, uncoated, hyperthermic.",A,"Thick deposits of sandy marine, aeolian, or fluvial sediments.",28.973725,-81.294851,663124.84,554818.82
561525.940000001,493850.684,3,1623,0.36,0.12,5.1,0.530,0.01,2.9,1.7,6,10.100,0.68,6.1,3.79,NA,0.04,4,S27_014,1623,1623,1975/01/06 00:00:00+00,Hernando,ODS,MYAKKA FINE SAND,"Aeric Alaquods, sandy, siliceous, hyperthermic.",A,Sandy marine sediments.,28.440972,-82.347609,561525.89,493850.75
734813.104800001,276906.4947,4,1139,1.22,3.46,440,0.180,0.12,19.7,42.2,21.6,1642.000,6.54,12,11.86,1.000,1.06,30.6,S50_027,1139,1139,1973/10/19 00:00:00+00,Palm Beach,ISTS,LAUDERHILL MUCK,"Lithic Haplosaprists, euic, hyperthermic.",Oap,Moderately thick beds of fresh water plant remains resting directly on limestone.,26.455832,-80.636092,734812.9,276906.58
559780.583799999,512713.9261,5,1411,0.25,0.53,28.4,0.620,0.01,8.1,5.6,3.5,39.200,0.04,8,5.2,NA,0.06,9.3,S27_011,1411,1411,1974/07/06 00:00:00+00,Hernando,ULTS,ARREDONDO FINE SAND,"Grossarenic Paleudults, loamy, siliceous, semiactive, hyperthermic.",Ap,Sandy and loamy marine deposits.,28.61102,-82.3629,559780.56,512713.92
455833.1226,697264.4327,6,6227,0.38,0.3,3.8,0.020,0.45,9.3,3.3,3,2.900,1.86,8,1.74,0.600,0.5,3.4,S40_016,6227,6227,1984/10/30 00:00:00+00,Madison,ISTS,Pamlico Mucky Peat,"TERRIC HAPLOSAPRISTS, SANDY OR SANDY-SKELETAL, SILICEOUS, DYSIC, THERMIC",Oa1,Partially decomposed organic materials overlying sandy marine deposits.,30.281555,-83.419,455833.04,697264.76
644077.478500001,241346.0174,7,7437,0.39,4.1,8.6,0.400,0.004,12.4,1,4.1,21.000,0.4,7,3.44,0.150,0.01,2.3,S11_003,7437,7437,1984/04/21 00:00:00+00,Collier,ENTS,Hallandale Fine Sand,"Lithic Psammaquents, siliceous, hyperthermic.",A,Marine sands from limestone material,26.154782,-81.554526,644077.14,241345.94
188717.667599998,706538.3914,8,4310,0.46,0.05,6.4,NA,0.004,40.3,0.6,3.6,19.000,2.05,38.6,5.6,NA,0.02,7.2,S66_023,4310,4310,1979/12/06 00:00:00+00,Walton,ENTS,FOXWORTH SAND,"Typic Quartzipsamments, thermic, coated.",A,Sandy coastal plain marine sediments.,30.349318,-86.200117,188717.54,706538.79
186369.458500002,713924.3774,9,4746,0.37,1.07,13.7,0.470,0.004,12.3,1,4.1,17.500,0.83,7.1,3.69,0.150,0.11,3.3,S66_028,4746,4746,1980/11/12 00:00:00+00,Walton,EPTS,RUTLEGE FINE SAND,"Typic Humaquepts, sandy, siliceous, thermic.",A,Sandy coastal plain marine sediments.,30.415479,-86.225952,186369.31,713924.78
455857.647599999,697953.3523,10,6233,0.56,0.14,17.3,0.280,0.88,33.4,4.6,9.5,15.600,2.88,29.6,15.76,0.800,0.5,5.6,S40_017,6233,6233,1984/10/30 00:00:00+00,Madison,ODS,SAPELO MUCK,"ULTIC  ALAQUODS, SANDY, SILICEOUS, THERMIC",Oa,Sandy and loamy marine sediment.,30.287761,-83.418711,455857.55,697953.62
