Site Name,Other site name(s),State,Location,Latitude,Longitude,"Geolocation validation
Y/N/?, Initials, Reason (optional)","New address (if wrong)
If column H is empty, paste lat/long ",Industry,Matrix Type,Sample Matrix,Date Sampled,Max PFOA (ppt),Max PFOS (ppt),Max PFOA+PFOS from a single sample (ppt),Max Total PFAS from a single sample (ppt),PFAS Level (ppt),Notes and Additional Information,Regulation and Governmental Response link (gov't websites only),Federal/State/Local online resources,Suspected source link,Most Recent PFAS Testing Results link,Link to site-specific references,Link to general references for the state
0 E Basin Rd, ,Delaware,"New Castle, Delaware",39.67924237,-75.58957393,"Y, DB",,Unknown,Groundwater,Groundwater,2017,560,"3,400","3,960","6,156","6,156",Located near the New Castle County Airport and New Castle County Airport Fire Training area,,,https://dnrec.alpha.delaware.gov/waste-hazardous/remediation/pfas/investigation-sites/,https://apps.dnrec.delaware.gov/dochandler/handler.ashx?docid=6744d73fd212a86f0koj143e20010000,,
101 Mulberry Street Property,,New Hampshire,"Claremont, New Hampshire",43.3689808,-72.3452186,"Y, AS",,Unknown,Groundwater,Groundwater,,7,9,17,24,24,,,https://www.dhhs.nh.gov/dphs/pfcs/index.htm,https://www4.des.state.nh.us/nh-pfas-investigation/wp-content/uploads/tables-pdf.pdf,https://www4.des.state.nh.us/nh-pfas-investigation/wp-content/uploads/tables-pdf.pdf,,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H
104 North Kinney Avenue,,Michigan,"Mt. Pleasant, Michigan",43.60466,-84.770249,,,Dry Cleaner,Groundwater,Groundwater,2021,160,,,,160,,,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/isabella-county/104-north-kinney-avenue,https://www.michigan.gov/pfasresponse/investigations/sites-aoi/isabella-county/104-north-kinney-avenue,https://drive.google.com/file/d/1OJMSBiN_MEjJ9Uunm7CRSmaMbblNii2D/view?usp=share_link,https://drive.google.com/drive/folders/1OX8U-ls3YJc4hh3KTrv7f5-u9dG4IHKz?usp=share_link,https://drive.google.com/drive/folders/1ZgLd9ihVSI3av7mQvluoownq7x_9UXYI?usp=share_link
118th Avenue Landfill,,Florida,"Clearwater, Florida",27.87974836,-82.68531326,"N EG, KM verified","27.879748364979886, -82.68531326199056",Landfill,Groundwater,Groundwater,2019,17,214,,,214,,,,https://floridadep.gov/waste/waste-cleanup/content/waste-site-cleanup-state-funded-pfas-sampling-efforts,https://drive.google.com/file/d/10GKwHfZkM4AQjbUkSFvoa3KySchF49cs/view?usp=sharing,https://drive.google.com/drive/u/0/folders/1Ndpu9Udqst42msNuaNP2HTLEESuDj9DC,
120th Avenue Area,,Michigan,"Robinson Township, Ottawa County, Michigan",42.9857118,-86.0837125,"Y, DB",,Unknown,Groundwater,Groundwater,2018,,,644,"2,142","2,142","Possible use of AFFF by Robinson Township Fire Department, however, no historical use in the area has been known and no definite source has been confirmed. (MPART 7.18.19)","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-499530--,00.html",https://www.michigan.gov/pfasresponse/,"https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_82704-499530--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-499530--,00.html",https://drive.google.com/drive/u/1/folders/11Lw6aNpdh8t688heILngOOdSdcPZFHkA?ths=true,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny
122 McGregor Street,,New Hampshire,"Manchester, Hillsborough County, New Hampshire",42.9925266,-71.4743682,Y EG,,Unknown,Groundwater,Groundwater,2020,11,14,25,68,68,Currently a Rite Aid,,https://www4.des.state.nh.us/DESOneStop/PRSDetail.aspx?ID=0006778&Type=PRS,"https://nhdes.maps.arcgis.com/apps/View/index.html?appid=66770bef141c43a98a445c54a17720e2&extent=-73.5743,42.5413,-69.6852,45.4509",https://www4.des.state.nh.us/nh-pfas-investigation/wp-content/uploads/tables-pdf.pdf,https://drive.google.com/drive/u/0/folders/1RAtQRzKR5HRhwNtNp-o7KFUsN7b7qQAr,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H
1279 Rickett Road,,Michigan,"Brighton, Livingston County, Michigan",42.517867,-83.77095,"Y, DB",,Industry,Groundwater,Groundwater,2020,"2,900",130,"3,030",,"3,030","Contamination caused by various fluid coupling, fabrication, engineering, and metal coating and finishing operations","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-538914--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-538914--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-538914--,00.html","https://www.michigan.gov/pfasresponse/0,9038,7-365-86511_95645-538914--,00.html",,https://drive.google.com/drive/u/1/folders/1Pms7FL2HqHNWHQ0nmFgIEcktFHXjhbny
1339 Hooksett Road,,New Hampshire,"Hooksett, Merrimack County, New Hampshire",43.0585675,-71.4415782,Y EG,,Industry,Groundwater,Groundwater,2019,26,10,36,81,81,O'Reilly Auto Parts,,https://www4.des.state.nh.us/DESOneStop/PRSDetail.aspx?ID=0038257&Type=PRS,"https://nhdes.maps.arcgis.com/apps/View/index.html?appid=66770bef141c43a98a445c54a17720e2&extent=-73.5743,42.5413,-69.6852,45.4509",https://www4.des.state.nh.us/IISProxy/IISProxy.dll?ContentId=4762865,https://drive.google.com/drive/u/0/folders/1IiOX_hRY24fjsq-tQ2XY7Douk775rrY5,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H
139 Folly Mill Road,,New Hampshire,"Seabrook, Rockingham County, New Hampshire",42.8818641,-70.8819616,Y EG,,Unknown,Groundwater,Groundwater,2018,3,3,6,8,8,CR Electronics,,https://www4.des.state.nh.us/DESOneStop/PRSDetail.aspx?ID=0017357&Type=PRS,"https://nhdes.maps.arcgis.com/apps/View/index.html?appid=66770bef141c43a98a445c54a17720e2&extent=-73.5743,42.5413,-69.6852,45.4509",https://www4.des.state.nh.us/IISProxy/IISProxy.dll?ContentId=4743604,https://drive.google.com/drive/u/0/folders/1kNtTq1lvGKOW7pZwqdxtblVzvHhEtY1E,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H
14 Depot Street,,New Hampshire,"Goffstown, Hillsborough County, New Hampshire",43.0188952,-71.6018131,Y EG,,Unknown,Groundwater,Groundwater,2018,130,680,810,"2,666","2,666",,,https://www4.des.state.nh.us/DESOneStop/PRSDetail.aspx?ID=0037898&Type=PRS,"https://nhdes.maps.arcgis.com/apps/View/index.html?appid=66770bef141c43a98a445c54a17720e2&extent=-73.5743,42.5413,-69.6852,45.4509",https://www4.des.state.nh.us/IISProxy/IISProxy.dll?ContentId=4762241,https://drive.google.com/drive/u/1/folders/1yYV4wWx_JfngP7sE9Lvu2fr2u3XflKL0,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H
150 Burke Street,,New Hampshire,"Nashua, Hillsborough County, New Hampshire",42.7513821,-71.443295,Y EG,,Industry,Groundwater,Groundwater,2018,20,59,79,118,118,Ingersoll Rand,,https://www4.des.state.nh.us/DESOneStop/PRSDetail.aspx?ID=0003792&Type=PRS,"https://nhdes.maps.arcgis.com/apps/View/index.html?appid=66770bef141c43a98a445c54a17720e2&extent=-73.5743,42.5413,-69.6852,45.4509",https://www4.des.state.nh.us/IISProxy/IISProxy.dll?ContentId=4778707,https://drive.google.com/drive/u/0/folders/1dL-GBh-261cIobRVtQCsEImUwzXIWFnF,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H
150 Mirona Road Property,,New Hampshire,"Portsmouth, New Hampshire",43.0487041,-70.7735759,"Y, AS ",,Unknown,Groundwater,Groundwater,,48,119,167,184,184,RE/MAX By the Bay,,https://www.dhhs.nh.gov/dphs/pfcs/index.htm,https://www4.des.state.nh.us/nh-pfas-investigation/wp-content/uploads/tables-pdf.pdf,https://www4.des.state.nh.us/nh-pfas-investigation/wp-content/uploads/tables-pdf.pdf,,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H
16 Industrial Park Drive Llc,,New Hampshire,"Dover, New Hampshire",43.186748,-70.8993507,"Y, AS",,Unknown,Groundwater,Groundwater,,8,30,37,,37,The Kane Company (one of their many facilities),,https://www.dhhs.nh.gov/dphs/pfcs/index.htm,https://www4.des.state.nh.us/nh-pfas-investigation/wp-content/uploads/tables-pdf.pdf,https://www4.des.state.nh.us/nh-pfas-investigation/wp-content/uploads/tables-pdf.pdf,,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H
21 Haverhill Road,,New Hampshire,"Windham, Rockingham County, New Hampshire",42.8000405,-71.3103653,Y EG,,Unknown,Groundwater,Groundwater,2019,12,4,16,127,127," https://www.windhampost109.org/ Wilbur E. Tarbell, Post 109",,https://www4.des.state.nh.us/DESOneStop/PRSDetail.aspx?ID=0037839&Type=PRS,"https://nhdes.maps.arcgis.com/apps/View/index.html?appid=66770bef141c43a98a445c54a17720e2&extent=-73.5743,42.5413,-69.6852,45.4509",https://www4.des.state.nh.us/IISProxy/IISProxy.dll?ContentId=4847767,https://drive.google.com/drive/u/0/folders/1G6FDJzZ2evWXMVp050yiCG2fSre-5X1N,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H
227A Atlantic Avenue Area Site,,New Hampshire,"North Hampton, New Hampshire",42.973552,-70.83146,"N, AS, Moved location slighly to line up with adress, KM verified","42.973552, -70.83146",Industry,Groundwater,Groundwater,,110,660,770,"1,062","1,062",Baldassarre Automotive ,,https://www.dhhs.nh.gov/dphs/pfcs/index.htm,https://www4.des.state.nh.us/nh-pfas-investigation/wp-content/uploads/tables-pdf.pdf,https://www4.des.state.nh.us/nh-pfas-investigation/wp-content/uploads/tables-pdf.pdf,,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H
23 Bus Road,,New Hampshire,"Salem, Rockingham County, New Hampshire",42.7904034,-71.2493937,Y EG,,Unknown,Groundwater,Groundwater,2018,957,"3,150","4,107","7,887","7,887",,,https://www4.des.state.nh.us/DESOneStop/PRSDetail.aspx?ID=0038939&Type=PRS,"https://nhdes.maps.arcgis.com/apps/View/index.html?appid=66770bef141c43a98a445c54a17720e2&extent=-73.5743,42.5413,-69.6852,45.4509",https://www4.des.state.nh.us/IISProxy/IISProxy.dll?ContentId=4749421,https://drive.google.com/drive/u/0/folders/1QNArO6sHMbSQ-on8vI2x73gerxqCjraI,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H
24 Scobie Pond Road,,New Hampshire,"Derry, Rockingham County, New Hampshire",42.9037431,-71.3387244,Y EG,,Unknown,Groundwater,Groundwater,2018,59,24,83,148,148,,,https://www4.des.state.nh.us/DESOneStop/PRSDetail.aspx?ID=0038422&Type=PRS,"https://nhdes.maps.arcgis.com/apps/View/index.html?appid=66770bef141c43a98a445c54a17720e2&extent=-73.5743,42.5413,-69.6852,45.4509",https://www4.des.state.nh.us/IISProxy/IISProxy.dll?ContentId=4716483,https://drive.google.com/drive/u/0/folders/1hotpRNKPc_aCE4W5DB_hRRaL-JbMbrW8,https://drive.google.com/drive/u/0/folders/1RsSKYaEE8jqAw7pH05tDHRflkjUL3t5H
