State,Total Number of Test,Min Concentration (ppt),Max Concentration (ppt),Concentration Range (ppt),Average Concentration,Standard Deviation
New Hampshire,469,3770.0,540637.0,536867.0,2706.622878464819,30804.980563547248
Michigan,324,0.52,740000.0,739999.48,19500.829969135804,116435.63853742453
California,254,0.515,13251.0,13250.485,265353.8850314478,1843530.901903041
Minnesota,100,468340.0,1987820.0,1519480.0,19313.2608,83536.44759737035
Maine,97,0.4686,23058440.0,23058439.5314,27636.33156701031,68438.35286979582
Florida,84,0.23,760000.0,759999.77,118404.43605952381,551662.1946579475
Vermont,56,4.56,10000.0,9995.44,1944.0854821428572,6537.232962609581
Alaska,36,12.0,335000.0,334988.0,92515.20333333332,170798.70723974647
New York,33,69.0,69.0,0.0,101191.1018181818,292993.6646422706
North Dakota,31,1.93,4856453.0,4856451.07,25012.733096774195,86208.16244856827
Wisconsin,28,1470.0,665000.0,663530.0,18606.63257142857,41090.66278977493
Colorado,20,58.0,28240.0,28182.0,59459.275,178792.28229989528
Washington,19,525.0,6800000.0,6799475.0,16203.946891578948,41372.799810601085
Maryland,18,1240.0,1693.0,453.0,35400.009,68674.34195549162
Texas,18,34.0,2920500.0,2920466.0,545927.0333333333,925444.9677701714
Oregon,15,15.046,132000.0,131984.954,51444.08213333334,130896.46096581063
Arizona,14,17811.0,33000.0,15189.0,1477.779642857143,3529.5014409820114
Massachusetts,14,649.0,453000.0,452351.0,37789.635428571426,86578.91587120498
New Jersey,12,1071.0,230021.1,228950.1,29176.546416666664,74942.5728422445
North Carolina,12,5.72,33502500.0,33502494.28,1125371.2566666666,3683975.090794544
Ohio,11,0.478,573500.0,573499.522,32144.46,53367.69776245646
Pennsylvania,10,0.396,241110.0,241109.604,56633.590000000004,124509.46659862588
Virginia,10,2.916,313000.0,312997.084,346371.68,711980.8113725551
Tennessee,9,18.79,582550.0,582531.21,46748.2,128958.47928978925
Mississippi,9,1.73,1446118.0,1446116.27,197559.6221111111,470376.8296146612
Delaware,8,5.6,571288.0,571282.4,52082.024999999994,116858.36614100421
Connecticut,8,1.98,39000.0,38998.02,1780.3487499999999,3416.318564802249
Oklahoma,7,0.369,410780.0,410779.631,300784.8585714285,430096.30310106906
South Carolina,6,21000.0,8770000.0,8749000.0,816365.0033333333,1382501.599749055
Alabama,6,2.0,651290.0,651288.0,157617.63833333334,205568.0339483005
Nebraska,6,0.697,264300.0,264299.303,73908.42033333333,165548.5239064833
Georgia,6,144.0,144.0,0.0,241910.0,229548.56235663948
Missouri,6,11.0,1094300.0,1094289.0,124967.43333333333,222914.68335972546
Illinois,6,1.0,1341000.0,1340999.0,538505.15,1168514.3271611584
Indiana,5,62.0,12817800.0,12817738.0,32336.6092,57085.97843957501
Rhode Island,5,1.67,453000.0,452998.33,5086.4838,8721.395605433067
Montana,5,3.71,135533.0,135529.29,9196.693,16907.52417708888
New Mexico,4,4.01,1180000.0,1179995.99,280586.05,542620.34374838
Nevada,4,0.18,484740.0,484739.82,2249600.0,4347400.047537992
South Dakota,4,18.53,491401.0,491382.47,568353.5255,774315.3191284408
Kansas,4,20.009,20420.0,20399.991,133153.95,214155.13932725656
Wyoming,4,7000.0,7000.0,0.0,90961.76375,64331.80600534951
Arkansas,3,5.531,1640000.0,1639994.469,1080385.6666666667,801651.8670198013
Hawaii,3,12.1,390064.0,390051.9,2267090.02,3925615.197290012
Utah,3,2.663,3502600.0,3502597.337,202209.862,295790.81798219687
West Virginia,3,29.586,541700.0,541670.414,60366.93333333333,87051.93193429617
Louisiana,3,2.0,46331.8,46329.8,11534168.573333332,19033081.361353736
Kentucky,3,1.1,26.441,25.340999999999998,77513.73333333334,132075.38909881483
Iowa,2,332.0,2275000.0,2274668.0,25405.5,10740.24489944247
Idaho,2,3000000.0,3000000.0,0.0,1466.5,320.319371877506
